"GENOTYPES","NAME","DFSI","DFFL","DFBO","SPAD1","SPAD2","RWC","MSI","LAI","SLW","BW","NBP","PH","SCYP","GOT","FL","UI","MIC","TENACITY"
1,"Gen_1",66,119,114,28.9,22.1,61.670344,51.086552,1.93,14.00435,1.558244,59,133,88.48,89.45,20.63,62,3.02,21.85
2,"Gen_2",60,127,117,22.3,25.6,99.115894,40.291082,3.35,6.048587,1.169799,35,134,69.99,80.68,16.25,65,4.2,21.48
3,"Gen_3",70,149,166,39.6,29.4,87.34465,87.729921,3.72,14.188368,1.261189,47,129,53.59,89.78,16.78,76,3.72,19.36
4,"Gen_4",67,138,132,37.2,26.7,74.604713,71.886811,2.03,11.112441,1.676326,38,120,64.83,50.07,20.4,61,4.51,21.61
5,"Gen_5",70,149,110,37.5,25.4,94.416901,85.531587,4.64,11.08738,1.279055,58,124,76.7,79.77,19.27,78,5.13,16.24
6,"Gen_6",62,107,116,44.0,23.8,88.229689,50.297202,2.17,14.460992,1.742408,39,136,59.0,85.72,21.37,62,5.07,18.02
7,"Gen_7",68,112,158,37.4,24.6,70.799549,47.692466,2.0,5.237113,1.130479,41,122,80.58,59.68,21.28,73,5.83,19.47
8,"Gen_8",68,134,105,30.4,29.6,57.45117,82.963947,1.61,13.859662,1.122188,41,134,57.93,91.37,16.52,80,3.29,20.8
9,"Gen_9",66,145,160,40.5,23.9,97.793184,53.839749,1.58,6.618766,1.074769,53,128,57.43,52.04,16.91,77,4.65,15.89
10,"Gen_10",60,107,107,32.2,26.9,85.485079,41.365629,3.13,13.771982,1.331162,32,149,67.51,88.89,20.59,78,5.23,19.83
11,"Gen_11",63,137,131,29.8,25.5,57.930759,95.773223,3.93,10.144293,1.778704,47,148,67.08,84.5,21.35,78,3.19,20.72
12,"Gen_12",61,124,161,22.1,28.7,66.005997,74.400122,4.04,10.880136,1.21517,53,128,80.56,62.67,15.07,76,3.02,21.64
